days, cars_request, car1, car2, car3, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 4, 1, 2, 1, 3, 0, 1, 1050, 0, 200
2, 0, 0, 1, 0, 1, 2, 2, 350, 100, 0
3, 4, 3, 4, 1, 3, 0, 1, 1050, 0, 200
4, 4, 2, 3, 3, 3, 0, 3, 1050, 0, 600
5, 3, 1, 2, 2, 3, 0, 3, 1050, 0, 600
6, 1, 3, 1, 1, 3, 0, 0, 1050, 0, 0
7, 2, 2, 1, 1, 3, 0, 0, 1050, 0, 0
8, 2, 1, 1, 2, 3, 0, 0, 1050, 0, 0
9, 1, 1, 0, 1, 2, 1, 1, 700, 50, 0
10, 2, 1, 4, 0, 2, 1, 1, 700, 50, 0
11, 3, 3, 3, 2, 3, 0, 1, 1050, 0, 200
12, 3, 2, 2, 1, 3, 0, 3, 1050, 0, 600
13, 4, 1, 1, 1, 3, 0, 3, 1050, 0, 600
14, 3, 2, 4, 1, 3, 0, 0, 1050, 0, 0
15, 2, 1, 3, 2, 3, 0, 1, 1050, 0, 200
16, 2, 3, 2, 1, 3, 0, 1, 1050, 0, 200
17, 4, 2, 1, 2, 3, 0, 3, 1050, 0, 600
18, 0, 1, 0, 1, 2, 1, 1, 700, 50, 0
19, 3, 1, 2, 1, 3, 0, 0, 1050, 0, 0
20, 4, 2, 1, 1, 3, 0, 2, 1050, 0, 400
21, 0, 1, 0, 0, 1, 2, 2, 350, 100, 0
22, 4, 1, 1, 1, 3, 0, 1, 1050, 0, 200
23, 1, 1, 0, 0, 1, 2, 2, 350, 100, 0
24, 4, 2, 3, 2, 3, 0, 1, 1050, 0, 200
25, 4, 1, 2, 1, 3, 0, 4, 1050, 0, 800
26, 2, 2, 1, 2, 3, 0, 0, 1050, 0, 0
27, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
28, 2, 3, 3, 0, 2, 1, 1, 700, 50, 0
29, 0, 2, 2, 0, 2, 1, 1, 700, 50, 0
30, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
31, 4, 3, 2, 1, 3, 0, 1, 1050, 0, 200
32, 4, 2, 1, 2, 3, 0, 3, 1050, 0, 600
33, 3, 1, 2, 1, 3, 0, 2, 1050, 0, 400
34, 3, 2, 1, 2, 3, 0, 1, 1050, 0, 200
35, 4, 1, 2, 1, 3, 0, 3, 1050, 0, 600
36, 2, 2, 1, 2, 3, 0, 0, 1050, 0, 0
37, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
38, 3, 3, 1, 4, 3, 0, 0, 1050, 0, 0
39, 3, 2, 2, 3, 3, 0, 2, 1050, 0, 400
40, 2, 1, 1, 2, 3, 0, 2, 1050, 0, 400
41, 2, 1, 1, 1, 3, 0, 0, 1050, 0, 0
42, 4, 2, 2, 4, 3, 0, 1, 1050, 0, 200
43, 3, 1, 1, 3, 3, 0, 3, 1050, 0, 600
44, 2, 2, 1, 2, 3, 0, 0, 1050, 0, 0
45, 2, 1, 2, 1, 3, 0, 1, 1050, 0, 200
46, 1, 3, 1, 0, 2, 1, 1, 700, 50, 0
47, 2, 2, 1, 2, 3, 0, 0, 1050, 0, 0
48, 2, 1, 2, 1, 3, 0, 1, 1050, 0, 200
49, 2, 1, 1, 2, 3, 0, 0, 1050, 0, 0
50, 4, 1, 4, 1, 3, 0, 2, 1050, 0, 400
