days, cars_request, car1, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 4, 4, 1, 0, 3, 350, 0, 600
2, 4, 3, 1, 0, 4, 350, 0, 800
3, 4, 2, 1, 0, 4, 350, 0, 800
4, 4, 1, 1, 0, 4, 350, 0, 800
5, 2, 1, 1, 0, 1, 350, 0, 200
6, 3, 1, 1, 0, 2, 350, 0, 400
7, 4, 2, 1, 0, 3, 350, 0, 600
8, 1, 1, 1, 0, 1, 350, 0, 200
9, 2, 2, 1, 0, 1, 350, 0, 200
10, 2, 1, 1, 0, 2, 350, 0, 400
11, 2, 1, 1, 0, 1, 350, 0, 200
12, 2, 2, 1, 0, 1, 350, 0, 200
13, 0, 1, 1, 0, 0, 350, 0, 0
14, 0, 0, 0, 1, 0, 0, 50, 0
15, 4, 2, 1, 0, 3, 350, 0, 600
16, 4, 1, 1, 0, 4, 350, 0, 800
17, 4, 4, 1, 0, 3, 350, 0, 600
18, 3, 3, 1, 0, 3, 350, 0, 600
19, 3, 2, 1, 0, 3, 350, 0, 600
20, 0, 1, 1, 0, 0, 350, 0, 0
21, 3, 2, 1, 0, 2, 350, 0, 400
22, 3, 1, 1, 0, 3, 350, 0, 600
23, 3, 2, 1, 0, 2, 350, 0, 400
24, 1, 1, 1, 0, 1, 350, 0, 200
25, 2, 4, 1, 0, 1, 350, 0, 200
26, 2, 3, 1, 0, 2, 350, 0, 400
27, 1, 2, 1, 0, 1, 350, 0, 200
28, 0, 1, 1, 0, 0, 350, 0, 0
29, 2, 3, 1, 0, 1, 350, 0, 200
30, 2, 2, 1, 0, 2, 350, 0, 400
31, 1, 1, 1, 0, 1, 350, 0, 200
32, 2, 1, 1, 0, 1, 350, 0, 200
33, 2, 1, 1, 0, 1, 350, 0, 200
34, 3, 4, 1, 0, 2, 350, 0, 400
35, 3, 3, 1, 0, 3, 350, 0, 600
36, 3, 2, 1, 0, 3, 350, 0, 600
37, 2, 1, 1, 0, 2, 350, 0, 400
38, 2, 1, 1, 0, 1, 350, 0, 200
39, 3, 1, 1, 0, 2, 350, 0, 400
40, 3, 2, 1, 0, 2, 350, 0, 400
41, 3, 1, 1, 0, 3, 350, 0, 600
42, 0, 0, 0, 1, 0, 0, 50, 0
43, 4, 1, 1, 0, 3, 350, 0, 600
44, 1, 3, 1, 0, 0, 350, 0, 0
45, 3, 2, 1, 0, 3, 350, 0, 600
46, 1, 1, 1, 0, 1, 350, 0, 200
47, 0, 0, 0, 1, 0, 0, 50, 0
48, 2, 2, 1, 0, 1, 350, 0, 200
49, 3, 1, 1, 0, 3, 350, 0, 600
50, 4, 2, 1, 0, 3, 350, 0, 600
51, 3, 1, 1, 0, 3, 350, 0, 600
52, 3, 4, 1, 0, 2, 350, 0, 400
53, 3, 3, 1, 0, 3, 350, 0, 600
54, 4, 2, 1, 0, 4, 350, 0, 800
55, 2, 1, 1, 0, 2, 350, 0, 400
56, 3, 2, 1, 0, 2, 350, 0, 400
57, 0, 1, 1, 0, 0, 350, 0, 0
58, 3, 2, 1, 0, 2, 350, 0, 400
59, 0, 1, 1, 0, 0, 350, 0, 0
60, 2, 1, 1, 0, 1, 350, 0, 200
61, 1, 1, 1, 0, 0, 350, 0, 0
62, 3, 1, 1, 0, 2, 350, 0, 400
63, 4, 1, 1, 0, 3, 350, 0, 600
64, 0, 0, 0, 1, 0, 0, 50, 0
65, 3, 2, 1, 0, 2, 350, 0, 400
66, 4, 1, 1, 0, 4, 350, 0, 800
67, 4, 1, 1, 0, 3, 350, 0, 600
68, 0, 0, 0, 1, 0, 0, 50, 0
69, 3, 3, 1, 0, 2, 350, 0, 400
70, 4, 2, 1, 0, 4, 350, 0, 800
71, 2, 1, 1, 0, 2, 350, 0, 400
72, 1, 3, 1, 0, 0, 350, 0, 0
73, 1, 2, 1, 0, 1, 350, 0, 200
74, 3, 1, 1, 0, 3, 350, 0, 600
75, 3, 2, 1, 0, 2, 350, 0, 400
76, 3, 1, 1, 0, 3, 350, 0, 600
77, 4, 2, 1, 0, 3, 350, 0, 600
78, 2, 1, 1, 0, 2, 350, 0, 400
79, 0, 0, 0, 1, 0, 0, 50, 0
80, 3, 4, 1, 0, 2, 350, 0, 400
81, 2, 3, 1, 0, 2, 350, 0, 400
82, 2, 2, 1, 0, 2, 350, 0, 400
83, 4, 1, 1, 0, 4, 350, 0, 800
84, 4, 4, 1, 0, 3, 350, 0, 600
85, 0, 3, 1, 0, 0, 350, 0, 0
86, 1, 2, 1, 0, 1, 350, 0, 200
87, 1, 1, 1, 0, 1, 350, 0, 200
88, 2, 2, 1, 0, 1, 350, 0, 200
89, 2, 1, 1, 0, 2, 350, 0, 400
90, 2, 1, 1, 0, 1, 350, 0, 200
91, 4, 1, 1, 0, 3, 350, 0, 600
92, 3, 3, 1, 0, 2, 350, 0, 400
93, 2, 2, 1, 0, 2, 350, 0, 400
94, 4, 1, 1, 0, 4, 350, 0, 800
95, 4, 4, 1, 0, 3, 350, 0, 600
96, 4, 3, 1, 0, 4, 350, 0, 800
97, 2, 2, 1, 0, 2, 350, 0, 400
98, 0, 1, 1, 0, 0, 350, 0, 0
99, 3, 2, 1, 0, 2, 350, 0, 400
100, 2, 1, 1, 0, 2, 350, 0, 400
101, 2, 2, 1, 0, 1, 350, 0, 200
102, 0, 1, 1, 0, 0, 350, 0, 0
103, 3, 2, 1, 0, 2, 350, 0, 400
104, 2, 1, 1, 0, 2, 350, 0, 400
105, 1, 2, 1, 0, 0, 350, 0, 0
106, 3, 1, 1, 0, 3, 350, 0, 600
107, 0, 0, 0, 1, 0, 0, 50, 0
108, 2, 2, 1, 0, 1, 350, 0, 200
109, 4, 1, 1, 0, 4, 350, 0, 800
110, 2, 2, 1, 0, 1, 350, 0, 200
111, 4, 1, 1, 0, 4, 350, 0, 800
112, 0, 0, 0, 1, 0, 0, 50, 0
113, 2, 3, 1, 0, 1, 350, 0, 200
114, 1, 2, 1, 0, 1, 350, 0, 200
115, 3, 1, 1, 0, 3, 350, 0, 600
116, 4, 3, 1, 0, 3, 350, 0, 600
117, 4, 2, 1, 0, 4, 350, 0, 800
118, 1, 1, 1, 0, 1, 350, 0, 200
119, 3, 1, 1, 0, 2, 350, 0, 400
120, 2, 1, 1, 0, 1, 350, 0, 200
121, 3, 4, 1, 0, 2, 350, 0, 400
122, 2, 3, 1, 0, 2, 350, 0, 400
123, 1, 2, 1, 0, 1, 350, 0, 200
124, 3, 1, 1, 0, 3, 350, 0, 600
125, 4, 3, 1, 0, 3, 350, 0, 600
126, 4, 2, 1, 0, 4, 350, 0, 800
127, 2, 1, 1, 0, 2, 350, 0, 400
128, 4, 3, 1, 0, 3, 350, 0, 600
129, 2, 2, 1, 0, 2, 350, 0, 400
130, 2, 1, 1, 0, 2, 350, 0, 400
131, 2, 3, 1, 0, 1, 350, 0, 200
132, 2, 2, 1, 0, 2, 350, 0, 400
133, 0, 1, 1, 0, 0, 350, 0, 0
134, 2, 1, 1, 0, 1, 350, 0, 200
135, 4, 4, 1, 0, 3, 350, 0, 600
136, 4, 3, 1, 0, 4, 350, 0, 800
137, 3, 2, 1, 0, 3, 350, 0, 600
138, 1, 1, 1, 0, 1, 350, 0, 200
139, 3, 3, 1, 0, 2, 350, 0, 400
140, 0, 2, 1, 0, 0, 350, 0, 0
141, 4, 1, 1, 0, 4, 350, 0, 800
142, 1, 2, 1, 0, 0, 350, 0, 0
143, 4, 1, 1, 0, 4, 350, 0, 800
144, 3, 1, 1, 0, 2, 350, 0, 400
145, 1, 2, 1, 0, 0, 350, 0, 0
146, 3, 1, 1, 0, 3, 350, 0, 600
147, 4, 3, 1, 0, 3, 350, 0, 600
148, 4, 2, 1, 0, 4, 350, 0, 800
149, 4, 1, 1, 0, 4, 350, 0, 800
150, 3, 1, 1, 0, 2, 350, 0, 400
151, 3, 3, 1, 0, 2, 350, 0, 400
152, 2, 2, 1, 0, 2, 350, 0, 400
153, 2, 1, 1, 0, 2, 350, 0, 400
154, 2, 3, 1, 0, 1, 350, 0, 200
155, 4, 2, 1, 0, 4, 350, 0, 800
156, 4, 1, 1, 0, 4, 350, 0, 800
157, 2, 1, 1, 0, 1, 350, 0, 200
158, 0, 0, 0, 1, 0, 0, 50, 0
159, 2, 1, 1, 0, 1, 350, 0, 200
160, 1, 3, 1, 0, 0, 350, 0, 0
161, 3, 2, 1, 0, 3, 350, 0, 600
162, 2, 1, 1, 0, 2, 350, 0, 400
163, 4, 1, 1, 0, 3, 350, 0, 600
164, 3, 2, 1, 0, 2, 350, 0, 400
165, 3, 1, 1, 0, 3, 350, 0, 600
166, 3, 2, 1, 0, 2, 350, 0, 400
167, 4, 1, 1, 0, 4, 350, 0, 800
168, 0, 0, 0, 1, 0, 0, 50, 0
169, 2, 2, 1, 0, 1, 350, 0, 200
170, 0, 1, 1, 0, 0, 350, 0, 0
171, 4, 1, 1, 0, 3, 350, 0, 600
172, 2, 1, 1, 0, 1, 350, 0, 200
173, 3, 1, 1, 0, 2, 350, 0, 400
174, 3, 1, 1, 0, 2, 350, 0, 400
175, 3, 1, 1, 0, 2, 350, 0, 400
176, 4, 1, 1, 0, 3, 350, 0, 600
177, 1, 4, 1, 0, 0, 350, 0, 0
178, 3, 3, 1, 0, 3, 350, 0, 600
179, 4, 2, 1, 0, 4, 350, 0, 800
180, 4, 1, 1, 0, 4, 350, 0, 800
181, 3, 1, 1, 0, 2, 350, 0, 400
182, 3, 1, 1, 0, 2, 350, 0, 400
183, 4, 1, 1, 0, 3, 350, 0, 600
184, 2, 2, 1, 0, 1, 350, 0, 200
185, 3, 1, 1, 0, 3, 350, 0, 600
186, 1, 2, 1, 0, 0, 350, 0, 0
187, 3, 1, 1, 0, 3, 350, 0, 600
188, 3, 1, 1, 0, 2, 350, 0, 400
189, 3, 2, 1, 0, 2, 350, 0, 400
190, 0, 1, 1, 0, 0, 350, 0, 0
191, 2, 1, 1, 0, 1, 350, 0, 200
192, 2, 2, 1, 0, 1, 350, 0, 200
193, 2, 1, 1, 0, 2, 350, 0, 400
194, 0, 0, 0, 1, 0, 0, 50, 0
195, 2, 2, 1, 0, 1, 350, 0, 200
196, 2, 1, 1, 0, 2, 350, 0, 400
197, 2, 2, 1, 0, 1, 350, 0, 200
198, 3, 1, 1, 0, 3, 350, 0, 600
199, 3, 2, 1, 0, 2, 350, 0, 400
200, 1, 1, 1, 0, 1, 350, 0, 200
201, 3, 2, 1, 0, 2, 350, 0, 400
202, 4, 1, 1, 0, 4, 350, 0, 800
203, 4, 1, 1, 0, 3, 350, 0, 600
204, 2, 4, 1, 0, 1, 350, 0, 200
205, 3, 3, 1, 0, 3, 350, 0, 600
206, 4, 2, 1, 0, 4, 350, 0, 800
207, 2, 1, 1, 0, 2, 350, 0, 400
208, 3, 2, 1, 0, 2, 350, 0, 400
209, 0, 1, 1, 0, 0, 350, 0, 0
210, 2, 1, 1, 0, 1, 350, 0, 200
211, 0, 0, 0, 1, 0, 0, 50, 0
212, 3, 1, 1, 0, 2, 350, 0, 400
213, 3, 2, 1, 0, 2, 350, 0, 400
214, 2, 1, 1, 0, 2, 350, 0, 400
215, 3, 2, 1, 0, 2, 350, 0, 400
216, 4, 1, 1, 0, 4, 350, 0, 800
217, 3, 1, 1, 0, 2, 350, 0, 400
218, 4, 2, 1, 0, 3, 350, 0, 600
219, 0, 1, 1, 0, 0, 350, 0, 0
220, 2, 1, 1, 0, 1, 350, 0, 200
221, 4, 3, 1, 0, 3, 350, 0, 600
222, 3, 2, 1, 0, 3, 350, 0, 600
223, 0, 1, 1, 0, 0, 350, 0, 0
224, 4, 2, 1, 0, 3, 350, 0, 600
225, 4, 1, 1, 0, 4, 350, 0, 800
226, 3, 2, 1, 0, 2, 350, 0, 400
227, 4, 1, 1, 0, 4, 350, 0, 800
228, 2, 4, 1, 0, 1, 350, 0, 200
229, 0, 3, 1, 0, 0, 350, 0, 0
230, 3, 2, 1, 0, 3, 350, 0, 600
231, 3, 1, 1, 0, 3, 350, 0, 600
232, 3, 2, 1, 0, 2, 350, 0, 400
233, 4, 1, 1, 0, 4, 350, 0, 800
234, 2, 4, 1, 0, 1, 350, 0, 200
235, 3, 3, 1, 0, 3, 350, 0, 600
236, 4, 2, 1, 0, 4, 350, 0, 800
237, 4, 1, 1, 0, 4, 350, 0, 800
238, 0, 0, 0, 1, 0, 0, 50, 0
239, 4, 2, 1, 0, 3, 350, 0, 600
240, 2, 1, 1, 0, 2, 350, 0, 400
241, 2, 1, 1, 0, 1, 350, 0, 200
242, 2, 4, 1, 0, 1, 350, 0, 200
