days, cars_request, car1, car2, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 4, 2, 1, 2, 0, 2, 700, 0, 400
2, 0, 1, 0, 1, 1, 0, 350, 50, 0
3, 3, 1, 3, 2, 0, 1, 700, 0, 200
4, 2, 1, 2, 2, 0, 1, 700, 0, 200
5, 0, 0, 1, 1, 1, 0, 350, 50, 0
6, 3, 1, 4, 2, 0, 1, 700, 0, 200
7, 1, 3, 3, 2, 0, 0, 700, 0, 0
8, 3, 2, 2, 2, 0, 3, 700, 0, 600
9, 1, 1, 1, 2, 0, 1, 700, 0, 200
10, 3, 4, 2, 2, 0, 1, 700, 0, 200
11, 4, 3, 1, 2, 0, 4, 700, 0, 800
12, 3, 2, 2, 2, 0, 2, 700, 0, 400
13, 4, 1, 1, 2, 0, 4, 700, 0, 800
14, 3, 2, 4, 2, 0, 1, 700, 0, 200
15, 3, 1, 3, 2, 0, 3, 700, 0, 600
16, 0, 0, 2, 1, 1, 0, 350, 50, 0
17, 3, 1, 1, 2, 0, 2, 700, 0, 400
18, 0, 0, 0, 0, 2, 0, 0, 100, 0
19, 3, 1, 2, 2, 0, 1, 700, 0, 200
20, 0, 0, 1, 1, 1, 0, 350, 50, 0
21, 3, 2, 1, 2, 0, 1, 700, 0, 200
22, 0, 1, 0, 1, 1, 0, 350, 50, 0
23, 3, 2, 3, 2, 0, 1, 700, 0, 200
24, 2, 1, 2, 2, 0, 2, 700, 0, 400
25, 3, 1, 1, 2, 0, 2, 700, 0, 400
26, 2, 3, 4, 2, 0, 0, 700, 0, 0
27, 2, 2, 3, 2, 0, 2, 700, 0, 400
28, 2, 1, 2, 2, 0, 2, 700, 0, 400
29, 0, 0, 1, 1, 1, 0, 350, 50, 0
30, 1, 1, 0, 1, 1, 0, 350, 50, 0
31, 3, 2, 1, 2, 0, 1, 700, 0, 200
32, 2, 1, 1, 2, 0, 1, 700, 0, 200
33, 0, 0, 0, 0, 2, 0, 0, 100, 0
34, 2, 2, 2, 2, 0, 0, 700, 0, 0
35, 2, 1, 1, 2, 0, 2, 700, 0, 400
36, 2, 2, 2, 2, 0, 0, 700, 0, 0
37, 3, 1, 1, 2, 0, 3, 700, 0, 600
38, 1, 1, 0, 1, 1, 0, 350, 50, 0
39, 2, 3, 3, 2, 0, 0, 700, 0, 0
40, 0, 2, 2, 2, 0, 0, 700, 0, 0
41, 4, 1, 1, 2, 0, 4, 700, 0, 800
42, 0, 0, 0, 0, 2, 0, 0, 100, 0
43, 3, 2, 2, 2, 0, 1, 700, 0, 200
44, 2, 1, 1, 2, 0, 2, 700, 0, 400
45, 4, 2, 1, 2, 0, 2, 700, 0, 400
46, 2, 1, 1, 2, 0, 1, 700, 0, 200
47, 0, 0, 0, 0, 2, 0, 0, 100, 0
48, 3, 1, 3, 2, 0, 1, 700, 0, 200
49, 3, 3, 2, 2, 0, 2, 700, 0, 400
50, 0, 2, 1, 2, 0, 0, 700, 0, 0
51, 4, 1, 3, 2, 0, 3, 700, 0, 600
52, 3, 4, 2, 2, 0, 2, 700, 0, 400
53, 4, 3, 1, 2, 0, 4, 700, 0, 800
54, 1, 2, 4, 2, 0, 0, 700, 0, 0
55, 4, 1, 3, 2, 0, 4, 700, 0, 800
56, 2, 3, 2, 2, 0, 1, 700, 0, 200
57, 4, 2, 1, 2, 0, 4, 700, 0, 800
58, 3, 1, 2, 2, 0, 2, 700, 0, 400
59, 3, 1, 1, 2, 0, 2, 700, 0, 400
60, 0, 0, 0, 0, 2, 0, 0, 100, 0
61, 2, 1, 1, 2, 0, 0, 700, 0, 0
62, 2, 2, 2, 2, 0, 0, 700, 0, 0
63, 4, 1, 1, 2, 0, 4, 700, 0, 800
64, 2, 4, 2, 2, 0, 0, 700, 0, 0
65, 4, 3, 1, 2, 0, 4, 700, 0, 800
66, 2, 2, 1, 2, 0, 1, 700, 0, 200
67, 4, 1, 2, 2, 0, 3, 700, 0, 600
68, 4, 4, 1, 2, 0, 3, 700, 0, 600
69, 3, 3, 1, 2, 0, 2, 700, 0, 400
70, 2, 2, 3, 2, 0, 1, 700, 0, 200
71, 1, 1, 2, 2, 0, 1, 700, 0, 200
72, 4, 3, 1, 2, 0, 3, 700, 0, 600
73, 2, 2, 4, 2, 0, 1, 700, 0, 200
74, 2, 1, 3, 2, 0, 2, 700, 0, 400
75, 3, 2, 2, 2, 0, 2, 700, 0, 400
76, 4, 1, 1, 2, 0, 4, 700, 0, 800
77, 3, 3, 3, 2, 0, 1, 700, 0, 200
78, 2, 2, 2, 2, 0, 2, 700, 0, 400
79, 1, 1, 1, 2, 0, 1, 700, 0, 200
80, 3, 1, 2, 2, 0, 1, 700, 0, 200
81, 2, 1, 1, 2, 0, 1, 700, 0, 200
82, 2, 1, 1, 2, 0, 0, 700, 0, 0
83, 4, 1, 1, 2, 0, 2, 700, 0, 400
84, 2, 3, 2, 2, 0, 0, 700, 0, 0
85, 2, 2, 1, 2, 0, 2, 700, 0, 400
86, 3, 1, 1, 2, 0, 2, 700, 0, 400
87, 3, 1, 2, 2, 0, 1, 700, 0, 200
88, 1, 2, 1, 2, 0, 0, 700, 0, 0
89, 4, 1, 2, 2, 0, 3, 700, 0, 600
90, 2, 2, 1, 2, 0, 1, 700, 0, 200
91, 4, 1, 4, 2, 0, 3, 700, 0, 600
92, 2, 2, 3, 2, 0, 1, 700, 0, 200
93, 1, 1, 2, 2, 0, 1, 700, 0, 200
94, 3, 1, 1, 2, 0, 2, 700, 0, 400
95, 3, 2, 1, 2, 0, 1, 700, 0, 200
96, 4, 1, 2, 2, 0, 3, 700, 0, 600
97, 0, 0, 1, 1, 1, 0, 350, 50, 0
98, 3, 2, 2, 2, 0, 1, 700, 0, 200
99, 4, 1, 1, 2, 0, 4, 700, 0, 800
100, 4, 2, 1, 2, 0, 2, 700, 0, 400
101, 3, 1, 4, 2, 0, 2, 700, 0, 400
102, 0, 0, 3, 1, 1, 0, 350, 50, 0
103, 4, 1, 2, 2, 0, 3, 700, 0, 600
104, 3, 3, 1, 2, 0, 2, 700, 0, 400
105, 4, 2, 1, 2, 0, 3, 700, 0, 600
106, 3, 1, 2, 2, 0, 2, 700, 0, 400
107, 4, 1, 1, 2, 0, 3, 700, 0, 600
108, 2, 1, 2, 2, 0, 0, 700, 0, 0
109, 4, 2, 1, 2, 0, 3, 700, 0, 600
110, 2, 1, 1, 2, 0, 1, 700, 0, 200
111, 2, 3, 4, 2, 0, 0, 700, 0, 0
112, 1, 2, 3, 2, 0, 1, 700, 0, 200
113, 3, 1, 2, 2, 0, 3, 700, 0, 600
114, 2, 1, 1, 2, 0, 1, 700, 0, 200
115, 2, 1, 3, 2, 0, 0, 700, 0, 0
116, 2, 2, 2, 2, 0, 1, 700, 0, 200
117, 4, 1, 1, 2, 0, 4, 700, 0, 800
118, 4, 2, 1, 2, 0, 2, 700, 0, 400
119, 1, 1, 2, 2, 0, 0, 700, 0, 0
120, 4, 4, 1, 2, 0, 3, 700, 0, 600
121, 4, 3, 4, 2, 0, 3, 700, 0, 600
122, 1, 2, 3, 2, 0, 1, 700, 0, 200
123, 2, 1, 2, 2, 0, 2, 700, 0, 400
124, 3, 2, 1, 2, 0, 2, 700, 0, 400
125, 1, 1, 1, 2, 0, 0, 700, 0, 0
126, 1, 2, 0, 1, 1, 0, 350, 50, 0
127, 4, 1, 1, 2, 0, 3, 700, 0, 600
128, 2, 1, 2, 2, 0, 0, 700, 0, 0
129, 4, 1, 1, 2, 0, 3, 700, 0, 600
130, 0, 0, 0, 0, 2, 0, 0, 100, 0
131, 0, 0, 0, 0, 2, 0, 0, 100, 0
132, 2, 1, 1, 2, 0, 0, 700, 0, 0
133, 4, 1, 3, 2, 0, 2, 700, 0, 400
134, 3, 1, 2, 2, 0, 2, 700, 0, 400
135, 3, 1, 1, 2, 0, 2, 700, 0, 400
136, 3, 2, 2, 2, 0, 1, 700, 0, 200
