days, cars_request, car1, car2, car3, car4, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 1, 2, 0, 0, 0, 1, 3, 0, 350, 150, 0
2, 2, 1, 2, 3, 0, 3, 1, 0, 1050, 50, 0
3, 3, 2, 1, 2, 2, 4, 0, 1, 1400, 0, 200
4, 0, 1, 0, 1, 1, 3, 1, 0, 1050, 50, 0
5, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
6, 2, 2, 2, 0, 0, 2, 2, 0, 700, 100, 0
7, 2, 1, 1, 2, 1, 4, 0, 0, 1400, 0, 0
8, 4, 3, 2, 1, 1, 4, 0, 1, 1400, 0, 200
9, 3, 2, 1, 2, 2, 4, 0, 1, 1400, 0, 200
10, 3, 1, 1, 1, 1, 4, 0, 2, 1400, 0, 400
11, 1, 1, 0, 0, 0, 1, 3, 0, 350, 150, 0
12, 2, 3, 2, 0, 0, 2, 2, 0, 700, 100, 0
13, 4, 2, 1, 1, 1, 4, 0, 2, 1400, 0, 400
14, 3, 1, 3, 2, 3, 4, 0, 0, 1400, 0, 0
15, 1, 1, 2, 1, 2, 4, 0, 0, 1400, 0, 0
16, 3, 1, 1, 3, 1, 4, 0, 1, 1400, 0, 200
17, 3, 1, 2, 2, 1, 4, 0, 0, 1400, 0, 0
18, 3, 1, 1, 1, 2, 4, 0, 1, 1400, 0, 200
19, 4, 1, 1, 1, 1, 4, 0, 1, 1400, 0, 200
20, 3, 1, 1, 2, 0, 3, 1, 0, 1050, 50, 0
21, 4, 2, 1, 1, 2, 4, 0, 1, 1400, 0, 200
22, 4, 1, 3, 1, 1, 4, 0, 2, 1400, 0, 400
23, 2, 1, 2, 1, 0, 3, 1, 0, 1050, 50, 0
24, 3, 3, 1, 4, 1, 4, 0, 0, 1400, 0, 0
25, 0, 2, 0, 3, 0, 2, 2, 0, 700, 100, 0
26, 4, 1, 1, 2, 2, 4, 0, 2, 1400, 0, 400
27, 3, 3, 2, 1, 1, 4, 0, 1, 1400, 0, 200
28, 2, 2, 1, 3, 3, 4, 0, 0, 1400, 0, 0
29, 0, 1, 0, 2, 2, 3, 1, 0, 1050, 50, 0
30, 4, 2, 4, 1, 1, 4, 0, 2, 1400, 0, 400
31, 2, 1, 3, 1, 4, 4, 0, 0, 1400, 0, 0
32, 1, 3, 2, 0, 3, 3, 1, 0, 1050, 50, 0
33, 3, 2, 1, 2, 2, 4, 0, 2, 1400, 0, 400
34, 4, 1, 2, 1, 1, 4, 0, 3, 1400, 0, 600
35, 0, 0, 1, 0, 0, 1, 3, 0, 350, 150, 0
36, 4, 2, 1, 2, 3, 4, 0, 0, 1400, 0, 0
37, 1, 1, 3, 1, 2, 4, 0, 0, 1400, 0, 0
38, 0, 0, 2, 0, 1, 2, 2, 0, 700, 100, 0
39, 2, 1, 1, 1, 0, 3, 1, 0, 1050, 50, 0
