days, cars_request, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 2, 0, 0, 2, 0, 0, 400
2, 1, 0, 0, 1, 0, 0, 200
3, 1, 0, 0, 1, 0, 0, 200
4, 3, 0, 0, 3, 0, 0, 600
5, 4, 0, 0, 4, 0, 0, 800
6, 3, 0, 0, 3, 0, 0, 600
7, 0, 0, 0, 0, 0, 0, 0
8, 3, 0, 0, 3, 0, 0, 600
9, 0, 0, 0, 0, 0, 0, 0
10, 3, 0, 0, 3, 0, 0, 600
11, 4, 0, 0, 4, 0, 0, 800
12, 0, 0, 0, 0, 0, 0, 0
13, 2, 0, 0, 2, 0, 0, 400
14, 0, 0, 0, 0, 0, 0, 0
15, 4, 0, 0, 4, 0, 0, 800
16, 4, 0, 0, 4, 0, 0, 800
17, 1, 0, 0, 1, 0, 0, 200
18, 3, 0, 0, 3, 0, 0, 600
19, 4, 0, 0, 4, 0, 0, 800
20, 2, 0, 0, 2, 0, 0, 400
21, 4, 0, 0, 4, 0, 0, 800
22, 4, 0, 0, 4, 0, 0, 800
23, 3, 0, 0, 3, 0, 0, 600
24, 3, 0, 0, 3, 0, 0, 600
25, 2, 0, 0, 2, 0, 0, 400
26, 3, 0, 0, 3, 0, 0, 600
27, 2, 0, 0, 2, 0, 0, 400
28, 3, 0, 0, 3, 0, 0, 600
29, 4, 0, 0, 4, 0, 0, 800
30, 2, 0, 0, 2, 0, 0, 400
31, 4, 0, 0, 4, 0, 0, 800
32, 3, 0, 0, 3, 0, 0, 600
33, 3, 0, 0, 3, 0, 0, 600
34, 3, 0, 0, 3, 0, 0, 600
35, 2, 0, 0, 2, 0, 0, 400
36, 2, 0, 0, 2, 0, 0, 400
37, 4, 0, 0, 4, 0, 0, 800
38, 1, 0, 0, 1, 0, 0, 200
39, 4, 0, 0, 4, 0, 0, 800
40, 0, 0, 0, 0, 0, 0, 0
41, 4, 0, 0, 4, 0, 0, 800
42, 0, 0, 0, 0, 0, 0, 0
43, 3, 0, 0, 3, 0, 0, 600
44, 4, 0, 0, 4, 0, 0, 800
45, 2, 0, 0, 2, 0, 0, 400
46, 3, 0, 0, 3, 0, 0, 600
47, 4, 0, 0, 4, 0, 0, 800
48, 2, 0, 0, 2, 0, 0, 400
49, 2, 0, 0, 2, 0, 0, 400
50, 4, 0, 0, 4, 0, 0, 800
51, 2, 0, 0, 2, 0, 0, 400
52, 2, 0, 0, 2, 0, 0, 400
53, 3, 0, 0, 3, 0, 0, 600
54, 1, 0, 0, 1, 0, 0, 200
