days, cars_request, car1, car2, car3, car4, car5, car6, car7, car8, car9, car10, car11, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 0, 100, 27, 0
2, 8, 1, 3, 2, 3, 3, 2, 1, 2, 2, 0, 0, 9, 2, 0, 450, 6, 0
3, 3, 2, 2, 1, 2, 2, 1, 2, 1, 1, 2, 0, 10, 1, 0, 500, 3, 0
4, 2, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 8, 3, 0, 400, 9, 0
5, 4, 2, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 4, 7, 0, 200, 21, 0
6, 2, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 4, 7, 0, 200, 21, 0
7, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 3, 8, 0, 150, 24, 0
8, 4, 1, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 4, 7, 0, 200, 21, 0
9, 3, 4, 1, 1, 2, 3, 2, 0, 0, 0, 0, 0, 6, 5, 0, 300, 15, 0
10, 3, 3, 3, 3, 1, 2, 1, 3, 0, 0, 0, 0, 7, 4, 0, 350, 12, 0
11, 4, 2, 2, 2, 2, 1, 1, 2, 3, 2, 0, 0, 9, 2, 0, 450, 6, 0
12, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 0, 0, 9, 2, 0, 450, 6, 0
13, 1, 3, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 3, 8, 0, 150, 24, 0
14, 3, 2, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 4, 7, 0, 200, 21, 0
15, 4, 1, 1, 1, 2, 1, 1, 4, 0, 0, 0, 0, 7, 4, 0, 350, 12, 0
