days, cars_request, car1, car2, car3, car4, car5, car6, car7, car8, car9, car10, car11, car12, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 4, 2, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 0, 200, 24, 0
2, 4, 1, 2, 2, 1, 2, 3, 1, 2, 0, 0, 0, 0, 8, 4, 0, 400, 12, 0
3, 5, 3, 1, 1, 1, 1, 2, 3, 1, 2, 1, 0, 0, 10, 2, 0, 500, 6, 0
4, 6, 2, 1, 4, 1, 2, 1, 2, 2, 1, 4, 0, 0, 10, 2, 0, 500, 6, 0
5, 4, 1, 1, 3, 2, 1, 3, 1, 1, 1, 3, 0, 0, 10, 2, 0, 500, 6, 0
6, 5, 2, 2, 2, 1, 1, 2, 3, 1, 0, 2, 0, 0, 9, 3, 0, 450, 9, 0
7, 4, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 0, 0, 10, 2, 0, 500, 6, 0
8, 6, 4, 1, 1, 2, 1, 2, 1, 1, 1, 0, 0, 0, 9, 3, 0, 450, 9, 0
9, 3, 3, 2, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 6, 6, 0, 300, 18, 0
10, 5, 2, 1, 2, 1, 2, 2, 2, 2, 0, 0, 0, 0, 8, 4, 0, 400, 12, 0
11, 3, 1, 1, 1, 3, 1, 1, 1, 1, 2, 0, 0, 0, 9, 3, 0, 450, 9, 0
12, 5, 1, 2, 2, 2, 2, 2, 0, 0, 1, 0, 0, 0, 7, 5, 0, 350, 15, 0
13, 3, 3, 1, 1, 1, 1, 1, 3, 2, 0, 0, 0, 0, 8, 4, 0, 400, 12, 0
14, 4, 2, 1, 1, 2, 2, 0, 2, 1, 0, 0, 0, 0, 7, 5, 0, 350, 15, 0
15, 4, 1, 1, 4, 1, 1, 3, 1, 2, 0, 0, 0, 0, 8, 4, 0, 400, 12, 0
