days, cars_request, car1, car2, car3, car4, car5, car6, car7, car8, car9, car10, car11, car12, car13, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 0, 50, 36, 0
2, 3, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 0, 150, 30, 0
3, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 0, 150, 30, 0
4, 4, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 0, 200, 27, 0
5, 5, 3, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 6, 7, 0, 300, 21, 0
6, 4, 2, 3, 2, 3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 7, 6, 0, 350, 18, 0
7, 3, 1, 2, 1, 2, 2, 2, 1, 3, 0, 0, 0, 0, 0, 8, 5, 0, 400, 15, 0
8, 4, 2, 1, 3, 1, 1, 1, 2, 2, 1, 0, 0, 0, 0, 9, 4, 0, 450, 12, 0
9, 1, 1, 2, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 5, 8, 0, 250, 24, 0
10, 3, 1, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 0, 250, 24, 0
11, 2, 1, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 0, 150, 30, 0
12, 5, 2, 2, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 7, 6, 0, 350, 18, 0
13, 7, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 2, 0, 0, 11, 2, 0, 550, 6, 0
14, 4, 3, 1, 2, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0, 7, 6, 0, 350, 18, 0
15, 5, 2, 4, 1, 2, 3, 2, 2, 1, 0, 0, 0, 0, 0, 8, 5, 0, 400, 15, 0
