days, cars_request, car1, car2, car3, car4, car5, car6, car7, car8, car9, car10, car11, car12, car13, car14, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 7, 2, 4, 1, 2, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 350, 21, 0
2, 1, 1, 3, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 0, 250, 27, 0
3, 2, 1, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 0, 200, 30, 0
4, 3, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 0, 250, 27, 0
5, 5, 1, 4, 2, 1, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 8, 6, 0, 400, 18, 0
6, 5, 2, 3, 1, 4, 3, 1, 2, 2, 0, 0, 0, 0, 0, 0, 8, 6, 0, 400, 18, 0
7, 4, 1, 2, 3, 3, 2, 1, 1, 1, 2, 2, 0, 0, 0, 0, 10, 4, 0, 500, 12, 0
8, 4, 1, 1, 2, 2, 1, 3, 3, 1, 1, 1, 0, 0, 0, 0, 10, 4, 0, 500, 12, 0
9, 4, 1, 4, 1, 1, 3, 2, 2, 2, 0, 0, 0, 0, 0, 0, 8, 6, 0, 400, 18, 0
10, 3, 2, 3, 3, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 8, 6, 0, 400, 18, 0
11, 3, 1, 2, 2, 1, 1, 4, 2, 2, 0, 0, 0, 0, 0, 0, 8, 6, 0, 400, 18, 0
12, 3, 3, 1, 1, 2, 1, 3, 1, 1, 0, 0, 0, 0, 0, 0, 8, 6, 0, 400, 18, 0
13, 4, 2, 1, 1, 1, 3, 2, 3, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 350, 21, 0
14, 5, 1, 3, 1, 4, 2, 1, 2, 2, 2, 0, 0, 0, 0, 0, 9, 5, 0, 450, 15, 0
15, 4, 3, 2, 2, 3, 1, 1, 1, 1, 1, 3, 0, 0, 0, 0, 10, 4, 0, 500, 12, 0
