days, cars_request, car1, car2, car3, car4, car5, car6, car7, car8, car9, car10, car11, car12, car13, car14, car15, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
1, 3, 2, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 0, 150, 36, 0
2, 4, 1, 1, 3, 1, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 350, 24, 0
3, 2, 2, 1, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 0, 250, 30, 0
4, 4, 1, 2, 1, 4, 1, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 350, 24, 0
5, 4, 2, 1, 3, 3, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 350, 24, 0
6, 0, 1, 0, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 0, 300, 27, 0
7, 3, 2, 2, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 350, 24, 0
8, 5, 1, 1, 3, 1, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 8, 7, 0, 400, 21, 0
9, 4, 2, 2, 2, 2, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 0, 300, 27, 0
10, 5, 1, 1, 1, 1, 3, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 10, 5, 0, 500, 15, 0
11, 5, 1, 2, 4, 2, 2, 1, 1, 1, 1, 1, 3, 0, 0, 0, 0, 11, 4, 0, 550, 12, 0
12, 0, 0, 1, 3, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 5, 10, 0, 250, 30, 0
13, 4, 1, 2, 2, 1, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 9, 0, 300, 27, 0
14, 4, 2, 1, 1, 1, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 350, 24, 0
15, 4, 1, 2, 2, 1, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 8, 7, 0, 400, 21, 0
